"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000030, 1, 0.000030, max_depth='3',max_features='0',min_samples_leaf='5',min_samples_split='4'
0.016365, 0.299600, 0.017632, 1, 0.001266, max_depth='3',max_features='0',min_samples_leaf='5',min_samples_split='4'
0.032935, 0.169600, 0.035451, 2, 0.002516, max_depth='3',max_features='3',min_samples_leaf='2',min_samples_split='6'
0.049337, 0.126800, 0.053438, 3, 0.004101, max_depth='7',max_features='4',min_samples_leaf='8',min_samples_split='1'
0.116832, 0.085600, 0.902974, 4, 0.786141, max_depth='8',max_features='9',min_samples_leaf='9',min_samples_split='2'
0.133252, 0.053700, 0.921775, 5, 0.788523, max_depth='8',max_features='8',min_samples_leaf='5',min_samples_split='1'
0.199947, 0.034600, 2.051556, 6, 1.851609, max_depth='8',max_features='8',min_samples_leaf='2',min_samples_split='0'
0.216291, 0.023000, 2.070521, 7, 1.854230, max_depth='8',max_features='8',min_samples_leaf='1',min_samples_split='1'
0.266616, 0.019100, 3.158354, 8, 2.891737, max_depth='8',max_features='4',min_samples_leaf='0',min_samples_split='0'
0.351359, 0.014800, 5.368674, 9, 5.017314, max_depth='8',max_features='7',min_samples_leaf='0',min_samples_split='0'
0.504018, 0.010900, 9.557597, 10, 9.053579, max_depth='8',max_features='8',min_samples_leaf='0',min_samples_split='0'
