"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000035, 1, 0.000035, max_depth='15',max_features='0.12361635568470201',min_impurity_decrease='0.48634217998244217',min_samples_leaf='0.16150247806327767',min_samples_split='0.2468381021678784',min_weight_fraction_leaf='0.023186415725322512'
0.052385, 1.008600, 0.054075, 1, 0.001690, max_depth='15',max_features='0.12361635568470201',min_impurity_decrease='0.48634217998244217',min_samples_leaf='0.16150247806327767',min_samples_split='0.2468381021678784',min_weight_fraction_leaf='0.023186415725322512'
0.103634, 0.986700, 0.107065, 2, 0.003431, max_depth='15',max_features='0.010290425114510175',min_impurity_decrease='0.12649118119172198',min_samples_leaf='0.054310392782503124',min_samples_split='0.3592228786637863',min_weight_fraction_leaf='0.021583731917407766'
0.220598, 0.827700, 0.228714, 3, 0.008116, max_depth='13',max_features='0.9172949482616565',min_impurity_decrease='0.08192112070234936',min_samples_leaf='0.10223779880806912',min_samples_split='0.010421565748011563',min_weight_fraction_leaf='0.04501748894332789'
0.397014, 0.736300, 1.483612, 4, 1.086598, max_depth='8',max_features='0.9552758885009507',min_impurity_decrease='0.022889358119672257',min_samples_leaf='0.05623895071485515',min_samples_split='0.011866392964039279',min_weight_fraction_leaf='0.07927227527066753'
0.768679, 0.727100, 4.358833, 5, 3.590154, max_depth='8',max_features='0.9687582745010332',min_impurity_decrease='0.020604880680550317',min_samples_leaf='0.053584451794412846',min_samples_split='0.011744108830750518',min_weight_fraction_leaf='0.041686547609833896'
0.846732, 0.619700, 4.441502, 6, 3.594770, max_depth='8',max_features='0.9618583783370277',min_impurity_decrease='0.022875171716488236',min_samples_leaf='0.010452081303284158',min_samples_split='0.011999983690699772',min_weight_fraction_leaf='0.04345196754377697'
1.374463, 0.619400, 9.505856, 7, 8.131393, max_depth='8',max_features='0.9590941308481994',min_impurity_decrease='0.011481790742145876',min_samples_leaf='0.010311952486215862',min_samples_split='0.06880144518037683',min_weight_fraction_leaf='0.04455102585738927'
1.945870, 0.618500, 15.335664, 8, 13.389794, max_depth='10',max_features='0.9618583783370277',min_impurity_decrease='0.00977925661846234',min_samples_leaf='0.010452081303284158',min_samples_split='0.010988632871915283',min_weight_fraction_leaf='0.04445296172969757'
2.024143, 0.615800, 15.418492, 9, 13.394349, max_depth='10',max_features='0.9590941308481994',min_impurity_decrease='0.00023276114457053063',min_samples_leaf='0.010435947975313074',min_samples_split='0.037944007221216644',min_weight_fraction_leaf='0.04451280221279134'
