"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000035, 1, 0.000035, learning_rate='4.60030680449031',n_estimators='100'
0.481441, 1.626900, 0.482877, 1, 0.001435, learning_rate='4.60030680449031',n_estimators='100'
0.834020, 0.809000, 0.839938, 2, 0.005918, learning_rate='0.00961398934516561',n_estimators='31'
1.475172, 0.608200, 1.482724, 3, 0.007552, learning_rate='1.7043335115909477',n_estimators='94'
2.572585, 0.604600, 2.881466, 4, 0.308881, learning_rate='1.5077782806301112',n_estimators='94'
4.567079, 0.596000, 5.670401, 5, 1.103322, learning_rate='1.503553576602879',n_estimators='80'
6.770883, 0.580200, 9.071971, 6, 2.301088, learning_rate='1.5042352576741673',n_estimators='82'
8.326189, 0.579800, 11.333948, 7, 3.007759, learning_rate='1.5042352576741673',n_estimators='83'
13.242275, 0.578200, 19.207675, 8, 5.965399, learning_rate='1.5042352576741673',n_estimators='100'
13.959493, 0.573100, 19.928335, 9, 5.968842, learning_rate='1.5042352576741673',n_estimators='96'
15.227474, 0.572700, 21.710382, 10, 6.482908, learning_rate='1.5042352576741673',n_estimators='97'
