"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000040, 1, 0.000040, C='796.323472177559',gamma='0.00035255936003789317',tol='0.07775663179233841'
0.020067, 1.041800, 0.021550, 1, 0.001483, C='796.323472177559',gamma='0.00035255936003789317',tol='0.07775663179233841'
0.080182, 1.024200, 0.087286, 2, 0.007104, C='20.15461920821694',gamma='0.0006017040321365156',tol='6.176469460575708e-05'
0.105855, 0.958500, 0.114693, 3, 0.008838, C='388.1322293800887',gamma='0.0009624998647979021',tol='4.522399928843747e-05'
0.184409, 0.894200, 1.278276, 4, 1.093867, C='622.813274286796',gamma='0.000962527565662662',tol='3.154257616224571e-05'
0.223493, 0.796500, 1.319763, 5, 1.096270, C='993.5611909268837',gamma='0.0009622740192688343',tol='1.2807012608737421e-05'
0.359745, 0.791100, 2.746856, 6, 2.387111, C='988.4362525897664',gamma='0.0009747181211702162',tol='1.2897795313756386e-05'
0.451137, 0.786300, 3.271320, 7, 2.820184, C='998.2320126691255',gamma='0.000978487958549292',tol='1.2868796648592601e-05'
0.490304, 0.781900, 3.313462, 8, 2.823158, C='989.5280638016013',gamma='0.0009908675118193496',tol='1.2897795313756386e-05'
0.530075, 0.776400, 3.356049, 9, 2.825974, C='999.5512427767579',gamma='0.0009955960188174618',tol='1.3341447897741514e-05'
0.605928, 0.774300, 3.844507, 10, 3.238579, C='999.7430032528505',gamma='0.0009991484169612117',tol='2.8077186003910756e-05'
0.698829, 0.773900, 4.890978, 11, 4.192150, C='999.5512427767579',gamma='0.0009999144368115858',tol='1.2077748562112986e-05'
0.810607, 0.773900, 5.981989, 12, 5.171382, C='999.5512427767579',gamma='0.0009999144368115858',tol='1.2159366928028136e-05'
