"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000043, 1, 0.000043, learning_rate='4.546784063337942',n_estimators='27'
0.144312, 1.714900, 0.145820, 1, 0.001508, learning_rate='4.546784063337942',n_estimators='27'
0.854971, 0.871700, 0.857967, 2, 0.002996, learning_rate='0.026530502996040546',n_estimators='95'
1.265898, 0.842300, 1.271383, 3, 0.005486, learning_rate='0.1457768806817529',n_estimators='54'
2.706038, 0.837200, 2.994890, 4, 0.288851, learning_rate='0.11883257400867969',n_estimators='80'
3.929577, 0.836200, 4.644503, 5, 0.714925, learning_rate='0.08343641320177608',n_estimators='84'
4.524274, 0.808000, 5.241466, 6, 0.717192, learning_rate='0.13536213022987487',n_estimators='80'
5.223839, 0.807900, 5.945313, 7, 0.721474, learning_rate='0.09912425309163087',n_estimators='95'
5.914381, 0.793900, 6.638321, 8, 0.723940, learning_rate='0.11735319811106586',n_estimators='93'
9.170208, 0.791200, 10.991604, 9, 1.821397, learning_rate='0.11735729880180278',n_estimators='90'
9.843925, 0.788200, 11.668230, 10, 1.824305, learning_rate='0.11733477838259194',n_estimators='92'
12.466924, 0.717900, 15.502194, 11, 3.035270, learning_rate='2.678909865277595',n_estimators='92'
14.570127, 0.686500, 19.429799, 12, 4.859672, learning_rate='2.6950068858906184',n_estimators='79'
15.079095, 0.676700, 19.941864, 13, 4.862769, learning_rate='2.684693717004908',n_estimators='79'
