"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000035, 1, 0.000035, C='20.3228544324115',gamma='0.0001061515235567512',tol='0.0015799738953604949'
0.015660, 1.017700, 0.017075, 1, 0.001415, C='20.3228544324115',gamma='0.0001061515235567512',tol='0.0015799738953604949'
0.046920, 1.015700, 0.051550, 2, 0.004630, C='4.1109850943453345',gamma='0.00041617018769270046',tol='0.00015798603319028853'
0.062572, 1.012500, 0.068659, 3, 0.006087, C='2.533610417321417',gamma='0.0003262707349770297',tol='5.467130776888183e-05'
0.126753, 1.012500, 1.254764, 4, 1.128011, C='2.5146594611237814',gamma='0.0003296294766614533',tol='5.694802276541034e-05'
0.174940, 1.012500, 2.185117, 5, 2.010177, C='2.5146594611237814',gamma='0.00032991866137751895',tol='7.244709763905471e-05'
0.206766, 1.012400, 2.638346, 6, 2.431580, C='2.5305640800785145',gamma='0.0003305814557455195',tol='6.609528220249527e-05'
0.254908, 1.012400, 3.643560, 7, 3.388652, C='2.5338402968894127',gamma='0.00033167189530858347',tol='6.601452490436949e-05'
0.270726, 1.012400, 3.662277, 8, 3.391551, C='2.5341557465083993',gamma='0.00033589322455820025',tol='6.849887885072903e-05'
0.386857, 1.012400, 6.114686, 9, 5.727828, C='2.5341557465083993',gamma='0.00034212656089135414',tol='6.745658340157511e-05'
0.419014, 1.012400, 6.705091, 10, 6.286076, C='2.5341557465083993',gamma='0.0003433266466042672',tol='6.611172494067588e-05'
