"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000031, 1, 0.000031, max_depth='3',max_features='0',min_samples_leaf='5',min_samples_split='4'
0.016498, 0.111200, 0.017817, 1, 0.001319, max_depth='3',max_features='0',min_samples_leaf='5',min_samples_split='4'
0.032826, 0.108900, 0.035397, 2, 0.002571, max_depth='3',max_features='3',min_samples_leaf='2',min_samples_split='6'
0.050289, 0.067500, 0.055341, 3, 0.005052, max_depth='7',max_features='4',min_samples_leaf='8',min_samples_split='1'
0.102112, 0.066100, 0.479468, 4, 0.377356, max_depth='5',max_features='9',min_samples_leaf='8',min_samples_split='0'
0.273517, 0.058200, 4.009799, 5, 3.736283, max_depth='4',max_features='1',min_samples_leaf='0',min_samples_split='1'
0.290107, 0.041300, 4.029332, 6, 3.739225, max_depth='7',max_features='8',min_samples_leaf='2',min_samples_split='0'
0.340698, 0.024500, 4.600412, 7, 4.259715, max_depth='7',max_features='8',min_samples_leaf='0',min_samples_split='0'
0.376297, 0.023900, 5.277381, 8, 4.901083, max_depth='8',max_features='7',min_samples_leaf='0',min_samples_split='0'
0.410435, 0.023300, 5.811177, 9, 5.400742, max_depth='8',max_features='5',min_samples_leaf='0',min_samples_split='0'
