"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000044, 1, 0.000044, max_depth='3',max_features='0',min_samples_leaf='5',min_samples_split='4'
0.020118, 0.299600, 0.021816, 1, 0.001698, max_depth='3',max_features='0',min_samples_leaf='5',min_samples_split='4'
0.040218, 0.169600, 0.043518, 2, 0.003300, max_depth='3',max_features='3',min_samples_leaf='2',min_samples_split='6'
0.064281, 0.126800, 0.075094, 3, 0.010813, max_depth='7',max_features='4',min_samples_leaf='8',min_samples_split='1'
0.151697, 0.085600, 1.384588, 4, 1.232891, max_depth='8',max_features='9',min_samples_leaf='9',min_samples_split='2'
0.171727, 0.053700, 1.407493, 5, 1.235766, max_depth='8',max_features='8',min_samples_leaf='5',min_samples_split='1'
0.259506, 0.034600, 2.710762, 6, 2.451256, max_depth='8',max_features='8',min_samples_leaf='2',min_samples_split='0'
0.279748, 0.023000, 2.734942, 7, 2.455194, max_depth='8',max_features='8',min_samples_leaf='1',min_samples_split='1'
0.347478, 0.019100, 4.187824, 8, 3.840347, max_depth='8',max_features='4',min_samples_leaf='0',min_samples_split='0'
0.453518, 0.014800, 7.098138, 9, 6.644620, max_depth='8',max_features='7',min_samples_leaf='0',min_samples_split='0'
0.650407, 0.010900, 12.833300, 10, 12.182894, max_depth='8',max_features='8',min_samples_leaf='0',min_samples_split='0'
